IDREGION,REGION,PROVINCE,URBAN_RURAL
31,JAKARTA,JAKARTA,1
99,OUTSIDE JAVA,OUTSIDE JAVA,0
3201,BOGOR,WEST JAVA,1
3202,SUKABUMI,WEST JAVA,0
3203,CIANJUR,WEST JAVA,0
3204,BANDUNG,WEST JAVA,1
3205,GARUT,WEST JAVA,0
3206,TASIKMALAYA,WEST JAVA,0
3207,CIAMIS,WEST JAVA,0
3208,KUNINGAN,WEST JAVA,0
3209,CIREBON,WEST JAVA,1
3210,MAJALENGKA,WEST JAVA,0
3211,SUMEDANG,WEST JAVA,0
3212,INDRAMAYU,WEST JAVA,0
3213,SUBANG,WEST JAVA,0
3214,PURWAKARTA,WEST JAVA,0
3215,KARAWANG,WEST JAVA,0
3216,BEKASI,WEST JAVA,1
3217,BANDUNG BARAT,WEST JAVA,0
3218,PANGANDARAN,WEST JAVA,0
3271,KOTA BOGOR,WEST JAVA,1
3272,KOTA SUKABUMI,WEST JAVA,1
3273,KOTA BANDUNG,WEST JAVA,1
3274,KOTA CIREBON,WEST JAVA,1
3275,KOTA BEKASI,WEST JAVA,1
3276,KOTA DEPOK,WEST JAVA,1
3277,KOTA CIMAHI,WEST JAVA,1
3278,KOTA TASIKMALAYA,WEST JAVA,1
3279,KOTA BANJAR,WEST JAVA,1
3301,CILACAP,CENTRAL JAVA,0
3302,BANYUMAS,CENTRAL JAVA,0
3303,PURBALINGGA,CENTRAL JAVA,0
3304,BANJARNEGARA,CENTRAL JAVA,0
3305,KEBUMEN,CENTRAL JAVA,0
3306,PURWOREJO,CENTRAL JAVA,0
3307,WONOSOBO,CENTRAL JAVA,0
3308,MAGELANG,CENTRAL JAVA,0
3309,BOYOLALI,CENTRAL JAVA,0
3310,KLATEN,CENTRAL JAVA,1
3311,SUKOHARJO,CENTRAL JAVA,1
3312,WONOGIRI,CENTRAL JAVA,0
3313,KARANGANYAR,CENTRAL JAVA,0
3314,SRAGEN,CENTRAL JAVA,0
3315,GROBOGAN,CENTRAL JAVA,0
3316,BLORA,CENTRAL JAVA,0
3317,REMBANG,CENTRAL JAVA,0
3318,PATI,CENTRAL JAVA,0
3319,KUDUS,CENTRAL JAVA,1
3320,JEPARA,CENTRAL JAVA,1
3321,DEMAK,CENTRAL JAVA,0
3322,SEMARANG,CENTRAL JAVA,0
3323,TEMANGGUNG,CENTRAL JAVA,0
3324,KENDAL,CENTRAL JAVA,0
3325,BATANG,CENTRAL JAVA,0
3326,PEKALONGAN,CENTRAL JAVA,0
3327,PEMALANG,CENTRAL JAVA,0
3328,TEGAL,CENTRAL JAVA,0
3329,BREBES,CENTRAL JAVA,0
3371,KOTA MAGELANG,CENTRAL JAVA,1
3372,KOTA SURAKARTA,CENTRAL JAVA,1
3373,KOTA SALATIGA,CENTRAL JAVA,1
3374,KOTA SEMARANG,CENTRAL JAVA,1
3375,KOTA PEKALONGAN,CENTRAL JAVA,1
3376,KOTA TEGAL,CENTRAL JAVA,1
3401,KULON PROGO,YOGYAKARTA,0
3402,BANTUL,YOGYAKARTA,0
3403,GUNUNG KIDUL,YOGYAKARTA,0
3404,SLEMAN,YOGYAKARTA,0
3471,KOTA YOGYAKARTA,YOGYAKARTA,1
3501,PACITAN,EAST JAVA,0
3502,PONOROGO,EAST JAVA,0
3503,TRENGGALEK,EAST JAVA,0
3504,TULUNGAGUNG,EAST JAVA,0
3505,BLITAR,EAST JAVA,0
3506,KEDIRI,EAST JAVA,0
3507,MALANG,EAST JAVA,0
3508,LUMAJANG,EAST JAVA,0
3509,JEMBER,EAST JAVA,0
3510,BANYUWANGI,EAST JAVA,0
3511,BONDOWOSO,EAST JAVA,0
3512,SITUBONDO,EAST JAVA,0
3513,PROBOLINGGO,EAST JAVA,0
3514,PASURUAN,EAST JAVA,0
3515,SIDOARJO,EAST JAVA,1
3516,MOJOKERTO,EAST JAVA,0
3517,JOMBANG,EAST JAVA,1
3518,NGANJUK,EAST JAVA,0
3519,MADIUN,EAST JAVA,0
3520,MAGETAN,EAST JAVA,0
3521,NGAWI,EAST JAVA,0
3522,BOJONEGORO,EAST JAVA,0
3523,TUBAN,EAST JAVA,0
3524,LAMONGAN,EAST JAVA,0
3525,GRESIK,EAST JAVA,0
3526,BANGKALAN,EAST JAVA,0
3527,SAMPANG,EAST JAVA,0
3528,PAMEKASAN,EAST JAVA,0
3529,SUMENEP,EAST JAVA,0
3571,KOTA KEDIRI,EAST JAVA,1
3572,KOTA BLITAR,EAST JAVA,1
3573,KOTA MALANG,EAST JAVA,1
3574,KOTA PROBOLINGGO,EAST JAVA,1
3575,KOTA PASURUAN,EAST JAVA,1
3576,KOTA MOJOKERTO,EAST JAVA,1
3577,KOTA MADIUN,EAST JAVA,1
3578,KOTA SURABAYA,EAST JAVA,1
3579,KOTA BATU,EAST JAVA,1
3601,PANDEGLANG,BANTEN,0
3602,LEBAK,BANTEN,0
3603,TANGERANG,BANTEN,1
3604,SERANG,BANTEN,0
3671,KOTA TANGERANG,BANTEN,1
3672,KOTA CILEGON,BANTEN,1
3673,KOTA SERANG,BANTEN,1
3674,KOTA TANGERANG SELATAN,BANTEN,1
