sub_region_1,ADMIN1
Aceh,ACEH
Bali,BALI
Bangka Belitung Islands,BANGKA BELITUNG ISLANDS
Banten,BANTEN
Bengkulu,BENGKULU
Central Java,CENTRAL JAVA
Central Kalimantan,CENTRAL KALIMANTAN
Central Sulawesi,CENTRAL SULAWESI
East Java,EAST JAVA
East Kalimantan,EAST KALIMANTAN
East Nusa Tenggara,EAST NUSA TENGGARA
Gorontalo,GORONTALO
Jakarta,JAKARTA
Jambi,JAMBI
Lampung,LAMPUNG
Maluku,MALUKU
North Kalimantan,NORTH KALIMANTAN
North Maluku,NORTH MALUKU
North Sulawesi,NORTH SULAWESI
North Sumatra,NORTH SUMATERA
Papua,PAPUA
Riau,RIAU
Riau Islands,RIAU ISLANDS
South East Sulawesi,SOUTHEAST SULAWESI
South Kalimantan,SOUTH KALIMANTAN
South Sulawesi,SOUTH SULAWESI
South Sumatra,SOUTH SUMATERA
Special Region of Yogyakarta,YOGYAKARTA
West Java,WEST JAVA
West Kalimantan,WEST KALIMANTAN
West Nusa Tenggara,WEST NUSA TENGGARA
West Papua,WEST PAPUA
West Sulawesi,WEST SULAWESI
West Sumatra,WEST SUMATERA
,NATIONAL
